top_k,MAE,RMSE,WMAPE,Bias,Rows Evaluated
1,1.367158274386389,2.487123642931571,1.3154526221849014,-0.1341883099873087,1730
2,1.4367111218796351,2.2719190671798755,1.382374994911996,-0.45108789295471946,1730
3,1.2514395027226846,1.9406516969809897,1.2041103112960203,-0.3386289818011415,1730
5,1.0805996502576585,1.6346341255149972,1.0397315878452442,-0.2275895033325913,1730
7,1.0868185219171125,1.6703928507704824,1.0457152630236954,-0.19845980248342499,1730
10,1.2761759659236962,2.1106368270077907,1.2279112464115653,-0.35267210789066267,1730
15,1.2842967354702517,1.9569673164123111,1.2357248900798308,-0.4011209440791567,1730
