top_k,MAE,RMSE,WMAPE,Bias,Rows Evaluated
1,1.2809545268163909,2.072735187673805,1.2325090830880734,-0.33422894658183094,1730
2,1.1095779568079973,1.696332996926694,1.0676139406439573,-0.4303028583360859,1730
3,1.0201722278194325,1.571629300959532,0.9815895184247043,-0.26345706886059717,1730
5,0.9920709872816733,1.5549554032628388,0.9545510611775834,-0.12359165704422719,1730
7,1.072343042160636,1.6143961582082467,1.0317872430132926,-0.2558547224729292,1730
10,1.1013625757148893,1.6532647917017542,1.0597092636188867,-0.41279386695022713,1730
15,1.2252211027358015,1.8009165501316318,1.1788834859471282,-0.46604727767200704,1730
