method,MAE,RMSE,WMAPE,Bias,Rows Evaluated
Category Average,1.1745680796403342,1.743377453624245,1.1301461500432581,-0.20603208963723918,1730
Department Average,1.0551307233942109,1.7936250752831684,1.015225890696321,0.14938598746417606,1730
Store-Category Average,1.3021924074703741,1.9766488398682514,1.2529437513480242,-0.20603208963723907,1730
Visible Launch Average,0.8586292320396367,1.34891022910401,0.8261560464007628,-0.20959796599396152,1730
Semantic Top-K Model Transfer,0.9920709872816733,1.5549554032628388,0.9545510611775834,-0.12359165704422719,1730
